In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
,Medial branch of superior cervical ganglion,FMA:6594,,Superior cervical ganglion,UBERON:0001989,,Superior cervical ganglion on transverse processes of 2nd and 3rd cervical vertebrae,,Multiple. Need guidance on what you want here.,,"These are multiple branches which leave as laryngopharyngeal branches and cardiac branches as listed below.
Laryngopharyngeal branches to carotid body and pharyngeal plexus. Cardiac branch on R joins deep part of cardiac plexus behind aortic arch and has connections to external laryngeal nerve, vagal cardiac branches, recurrent laryngeal nerve and thyroid branches of middle cervical ganglion. Cardiac branch on L joins superficial (ventral) part of cardiac plexus (and sometimes it descends on the right of the aorta to reach the deep part of the plexus). Communicates with cardiac branches of middle and inferior cervical sympathetic ganglia and sometimes inferior cervical cardiac branches of L vagus to form plexus on ascending aorta.","Laryngopharyngeal branches supply carotid body and pass to the side of the pharynx, joining glossopharyngeal and vagal rami to form the pharyngeal plexus. Cardiac branch arises from the lower part of the superior cervical ganglion and occasionally receives a twig from the trunk between the superior and middle cervical ganglia. Descends behind the common carotid artery, in front of longus colli and crosses anterior to the inferior thyroid artery and recurrent laryngeal nerve. The courses then differ on the two sides of the body. The right cardiac branch usually passes behind, but sometimes in front of, the subclavian artery and runs posterolateral to the brachiocephalic trunk to join the deep (dorsal) part of the cardiac plexus behind the aortic arch (More detail in Gray's Anatomy p 468). The left cardiac branch, in the thorax, is anterior to the left common carotid artery and crosses in front of the laft side of the aortic arch to reach the superficial (ventral) part of the cardiac plexus. Sometimes it descends on the right of the aora to end in the deep part of the cardiac plexus. (More detail in Gray's Anatomy p 468).",,Gray's Anatomy p 468
,"* Laryngopharyngeal branch of superior cervical ganglion
* Set of laryngopharyngeal branches of superior cervical ganglion","* FMA:6595
* FMA:75567",,Superior cervical ganglion,UBERON:0001989,,,,"* Carotid body
* Pharyngeal plexus","* UBERON:0001629
* UBERON:0011325",,,,
Yes,Right laryngopharyngeal nerve (Right laryngopharyngeal branch of superior cervical ganglion),FMA:53547,"FMA:6595
FMA:75567",Point on superior cervical ganglion where right laryngopharyngeal nerve starts,,,,,,,,,,
Yes,Left laryngopharyngeal nerve (Left laryngopharyngeal branch of superior cervical ganglion),FMA:53548,"FMA:6595
FMA:75567",Point on superior cervical ganglion where left laryngopharyngeal nerve starts,,,,,,,,,,
,Anterior branch(es) of superior cervical ganglion,FMA:6887,,Superior cervical ganglion,UBERON:0001989,,Superior cervical ganglion on transverse processes of 2nd and 3rd cervical vertebrae,,"Ramify on common and external carotid arteries and the branches of the external carotid, form a plexus around each. The plexus around the facial artery supplies a filament to the submandibular ganglion, the plexus on the middle meningeal artery sends one ramus to the otic ganglion and another, the external petrosal nerve, to the facial ganglion. Many fibres leave to travel to facial sweat glands via branches of the trigeminal nerve.",,,,,Gray's Anatomy (41st ed.) p 469
,Communicating branch of superior cervical ganglion with vagus nerve,FMA:6901,,,,,,,,,,,,
Yes,Communicating branch of superior cervical ganglion with right vagus nerve,REQUESTED,FMA:6901,Point on vagal branch to right carotid body where communicating branch of superior cervical ganglion with right vagus nerve starts,,,,,,,,,,
Yes,Communicating branch of superior cervical ganglion with left vagus nerve,REQUESTED,FMA:6901,Point on vagal branch to left carotid body where communicating branch of superior cervical ganglion with left vagus nerve starts,,,,,,,,,,
,Middle cervical ganglion (cervical sympathetic ganglia),UBERON:0001990,,Point on sympathetic trunk where middle cervical ganglion is,,,"At level of 6th cervical vertebra, in front of transverse process of sixth cervical vertebra, anterior or just superior to the inferior thyroid artery",,"5th and 6th cervical spinal nerves (sometimes also 4th and 7th), connected to inferior cervical ganglion, also thyroid and cardiac branches, fibres to parathyroid glands, branches to subclavian and inferior thyroid arteries",,Probably a coalescence of the ganglia of the 5th and 6th cervical segments,"Ansa subclavia, cervical pleura, phrenic nerve, vagus (more detail in Gray's Anatomy p 469)","May be absent, replaced by minute ganglia in the sympathetic trunk or fused with the superior ganglion.",Gray's Anatomy p 469
,Cardiac branch of middle cervical ganglion,FMA:6623,,Middle cervical ganglion,UBERON:0001990,,,,,,,,,
,"Inferior cervical ganglion
(cervicothoracic/stellate ganglion)
(inferior cervical sympathetic ganglion)",UBERON:0002440,,Point on sympathetic trunk where inferior cervical ganglion is,,,On or just lateral to the lateral border of longus colli between the base of the 7th cervical transverse process and the neck of the first rib (which are both posterior to it).,,Grey rami communicantes to 7th and 8th cervical spinal nerves. Cardiac branch to deep cardiac plexus and connection to recurrent laryngeal nerve and cardiac branch of the middle cervical ganglion. Branches to blood vessels form plexuses on the subclavian artery and its branches. (Further connections see Gray's Anatomy p 469.) Fibres to thyroid gland.,,"Probably a fusion of the lower two cervical and first thoracic segmental ganglia, sometimes including the 2nd-4th thoracic ganglia, May be fused with first thoracic cervical ganglion, forming the stellate or cervicothoracic ganglion",Vertebral vessels are anterior and the ganglion is separatyed from the posterior aspect of the cervical pleura inferiorly by the suprapleural membrane. The costocervical trunk of the subclavian artery branches near the lower pole of the ganglion and the superior intercostal artery is lateral.,,Gray's Anatomy p 469
,Cervical nerve plexus,UBERON:0003725,,"* Anterior rami of (C1 spinal segment)
* Anterior rami of (C2 spinal segment)
* Anterior rami of (C3 spinal segment)
* Anterior rami of (C4 spinal segment)","* UBERON:0006469
* UBERON:0006489
* UBERON:0006488
* UBERON:0006490",,,,"* Muscular branches: Omitted, (phrenic nerve)
* Cutaneous branches: (Lesser occipital nerve) C2, 
* (Great auricular nerve) C2, 3, 
* (Transverse cervical nerve) C2, 3, 
* (Supraclavicular nerve)/(set of supraclavicular nerves) C3, 4","* UBERON:0001884
* FMA:6871
* UBERON:0008833
* FMA:6873
* FMA:65414/FMA:75463","Originate from C1-4 anterior rami
Sensory branches are:
* Great auricular to ear skin/parotid skin
* Transverse cervical to neck and upper sternum
* Lesser occipital to posterosuperior scalp
* Supraclavicular nerves to skin over supraclavicular fossa, upper thorax and supraclavicular joint","Lesser occipital, transverse cervical and great auricular branches ascend. Supraclavicular branches descend.
Communicating branches: From loop between C1 and C2 cervical rami communicating branches pass to vagus and hypoglossal nerves and sympathetic trunk.
Gray rami communicantes from superior cervical sympathtic ganglion to C1-4 ventral rami.",,"Gray's Anatomy p 409, 463"
,Ansa cervicalis,UBERON:0005430,,"Superior root from C1 fibres in branch of hypoglossal nerve, inferior root from branches of C2 and C3 anterior rami in cervical plexus",,,Loop formed from superior root from C1-2 and inferior root descending from C2-3,,,,Mostly motor,"Inferior root (loop from branches of 2nd and of 3rd cervical rami) descends on the lateral side of the internal jugular vein, crosses it a little below the middle of the neck and continues forward to join the superior root anterior to the common carotid artery. 
Superior root (descendens hypoglossi) contains only fibres from C1 and leaves hypoglssal nerve where it curves around the occipital artery and then descends either anterior to or in the carotid sheath.",,"Gray's Anatomy p 463, Fig. 29.17 p 464"
Yes,Right ansa cervicalis,"FMA:55143
ILX:0794577",UBERON:0005430,"* Point on right C1 spinal nerve branch to right ansa cervicalis where right ansa cervicalis starts
* Point on right C2 spinal nerve branch to right ansa cervicalis where right ansa cervicalis starts",,,,,,,,,,
Yes,Left ansa cervicalis,"FMA:55144
ILX:0794578",UBERON:0005430,"* Point on left C1 spinal nerve branch to left ansa cervicalis where left ansa cervicalis starts
* Point on left C2 spinal nerve branch to left ansa cervicalis where left ansa cervicalis starts",,,,,,,,,,
,Greater occipital nerve,FMA:65443,,"* Dorsal ramus of (C2 spinal segment)
* (C2 spinal nerve)","* UBERON:0006489
* FMA:6443",,From medial branch of dorsal ramus of C2,,"* Skin of (scalp) as far forwards as coronal suture
* Back of (auricle)","* UBERON:0000403
* UBERON:0001757",,,,"Gray's Anatomy p 767
Netter's Atlas of Human Anatomy plate 184"
Yes,Right greater occipital nerve (Medial branch of posterior ramus of right second cervical nerve),FMA:65444,FMA:65443,Point on right C2 spinal nerve where right greater occipital nerve starts,,,,,,,,,,
Yes,Left greater occipital nerve (Medial branch of posterior ramus of left second cervical nerve),FMA:6835,FMA:65443,Point on left C2 spinal nerve where left greater occipital nerve starts,,,,,,,,,,
,Lesser occipital nerve,FMA:6871,,"* Ventral rami of (C2 spinal segment)
* Ventral rami of (C3 spinal segment)","* UBERON:0006489
* UBERON:0006488",,Mostly C2 but sometimes C3 fibres. Posterior margin of sternocleidomastoid,,"* (Scalp) behind auricle
* Skin on upper third of medial aspect of (auricle)
* Connection with (great auricular nerve)
* Connection with (greater occipital nerve)
* Connection with (posterior auricular nerve)","* UBERON:0000403
* UBERON:0001757
* UBERON:0008833
* FMA:65443
* UBERON:0035647","Cutaneous spinal nerve of cervical plexus.
To: Auricular, mastoid, occipital branches.
Scalp behind auricle. Connects with great auricular and greater occiptal nerves and auricular branch of facial nerve. Its auricular branch supplies skin on upper third of medial aspect of the auricle.",Passes anterior to plane of accessory nerve before winding around it and becoming anterior to it. Then ascends along posterior margin of sternocleidomastoid. Near cranium it pierces the deep fascia and passes up on to the scalp behind the auricle to supply the skin and connect with the great auricular and greater occiptal nerves and the auricular branch of the facial nerve. Its auricular branch supplies the skin on the upper third of the medial aspect of the auricle and connects with the posterior branch of the great auricular nerve. (Auricular branch is occasionally derived from the greater occipital nerve).,,"Gray's Anatomy p 442, 629
Netter's Atlas of Human Anatomy plate 184"
Yes,Right lesser occipital nerve,FMA:65388,FMA:6871,Point on right C2 spinal nerve where right lesser occipital nerve starts,,,,,,,,,,
Yes,Left lesser occipital nerve,FMA:65389,FMA:6871,Point on left C2 spinal nerve where left lesser occipital nerve starts,,,,,,,,,,
,Third occipital nerve,FMA:65608,,Superficial medial branch of (C3 spinal segment) dorsal ramus,* UBERON:0006488,,,,"* Connection with (greater occipital nerve)
* (Skin of neck) below
* (Superior nuchal line)","* FMA:65443
* UBERON:0001417
* UBERON:0014803",Muscle innervation. Communicates with greater occipital nerve and supplies area of skin below superior nuchal line.,,,Netter's Atlas of Human Anatomy plate 184
Yes,Right third occipital nerve,FMA:6845,FMA:65608,Point on right C3 spinal nerve posterior ramus medial branch where right third occipital nerve starts,,,,,,,,,,
Yes,Left third occipital nerve,FMA:6852,FMA:65608,Point on left C3 spinal nerve posterior ramus medial branch where left third occipital nerve starts,,,,,,,,,,
,Great auricular nerve,UBERON:0008833,,"* (C2 spinal segment)
* (C3 spinal segment)","* UBERON:0006489
* UBERON:0006488",,From C2 and C3. Largest ascending branch of cervical plexus. Posterior border of sternocleidomastoid.,,"* (Parotid gland)
* (Skin of face) over parotid gland
* Connects with (facial nerve)
* Posterolateral part of (auricle) including
* (Antihelix)
* (Helix of ear)
* (Lobule of auricle)
* (Concha of auricle)
* Connection to (lesser occipital nerve)
* Connection to (auricular branch of vagus nerve)
* Connection to (posterior auricular nerve) branch of facial nerve","* UBERON:0001831
* UBERON:1000021
* UBERON:0001647
* UBERON:0001757
* UBERON:0016466
* UBERON:0002488
* UBERON:0001847
* UBERON:0006203
* FMA:6871
* FMA:6232
* UBERON:0035647","At parotid gland, divides into anterior and posterior branches. Anterior branch supplies facial skin over parotid gland and connects in gland with facial nerve. Posterior branch supples skin over mastoid process and most of cranial surface and posterior part of the lateral surface of the auricle (helix, antihelix, lobule). Fibres to lobule and concha of outer ear. Posterior branch communicates with lesser occipital nerve, auricular branch of the vagus and the posterior auricular branch of the facial nerve.","Comes from C2 and C3 from cervical plexus. Emerges from behind the posterior border of the middle third of sternocleidomastoid, usually below the accessory nerve, passes superiorly over sternocleidomastoid towards the lobule and angle of the mandible, can sit over the mid-belly of sternocleidomastoid approx 6.5cm below the lower border of the external acoustic meatus, with the external jugular vein sitting anteriorly at this position. Reaches parotid gland and divides into anterior and posterior branches. Anterior branch distributes to facial skin over the parotid gland and connects in the gland with the facial nerve. Posterior branch supplies skin over the mastoid process and on the back of the auricle (except its upper part). A filament pierces the auricle to reach the lateral surface and the lobule and concha. Posterior branch communicates with the lesser occipital nerve, the auricular branch of the vagus and the posterior auricular branch of the facial nerve.",,"Gray's Anatomy p 414 and 442 and 629
Netter's Atlas of Human Anatomy plate 184"
Yes,Right great auricular nerve,"FMA:55155
ILX:0794583",UBERON:0008833,Point on right C3 spinal nerve branch to right great auricular nerve where right great auricular nerve starts,,,,,,,,,,
Yes,Left great auricular nerve,"FMA:55156
ILX:0794584",UBERON:0008833,Point on left C3 spinal nerve branch to left great auricular nerve where left great auricular nerve starts,,,,,,,,,,
,Great auricular nerve anterior branch,FMA:6880,,,,,,,,,,,,
Yes,Right great auricular nerve anterior branch (Anterior branch of right great auricular nerve),FMA:55157,FMA:6880,Point on right great auricular nerve where right great auricular nerve anterior branch starts,,,,,,,,,,
Yes,Left great auricular nerve anterior branch (Anterior branch of left great auricular nerve),FMA:55158,FMA:6880,Point on left great auricular nerve where left great auricular nerve anterior branch starts,,,,,,,,,,
,Great auricular nerve posterior branch (Posterior branch of great auricular nerve),FMA:6881,,,,,,,,,,,,
Yes,Right great auricular nerve posterior branch (Posterior branch of right great auricular nerve),FMA:55159,FMA:6881,Point on right great auricular nerve where right great auricular nerve posterior branch starts,,,,,,,,,,
Yes,Left great auricular nerve posterior branch (Posterior branch of left great auricular nerve),FMA:55160,FMA:6881,Point on left great auricular nerve where left great auricular nerve posterior branch starts,,,,,,,,,,
,Transverse cervical nerve,FMA:6873,,"* (C2 spinal segment)
* (C3 spinal segment)","* UBERON:0006489
* UBERON:0006488",,From C2 and C3 rami. Posterior border of sternocleidomastoid.,,"* (Skin of neck) upper anterior areas and anterolaterally as low as sternum
* Connection to (cervical branch of facial nerve)","* UBERON:0001417
* FMA:53396","Ascending branches ascend to submandibular region, forming a plexus with the cervical branch of the facial nerve beneath platysma. Some branches pierce platysma and serve skin on upper anterior areas of the neck. Descending branches pierce platysma and distribute anterolaterally to the skin of the neck, as low as the sternum.","Curves around posterior border of sternocleidomastoid near its midpoint and runs obliquely forwards, deep to the external jugular vein, to the anterior border of the muscle. Ascending and descending branches distribute to the anterolateral areas of the neck.",,Gray's Anatomy p 443
Yes,Right transverse cervical nerve,FMA:55172,FMA:6873,"* Point on right C2 spinal nerve where right transverse cervical nerve starts
* Point on right C3 spinal nerve where right transverse cervical nerve starts",,,,,,,,,,
Yes,Left transverse cervical nerve,FMA:55173,FMA:6873,"* Point on left C2 spinal nerve where left transverse cervical nerve starts
* Point on left C3 spinal nerve where left transverse cervical nerve starts",,,,,,,,,,
,"* Supraclavicular nerve
* Set of supraclavicular nerves ","* FMA:65414
* FMA:75463",,"* (C3 spinal segment)
* (C4 spinal segment)","* UBERON:0006488
* UBERON:0006490",,Part of cervical plexus. Arise from a common trunk from rami of C3 and C4. Posterior border of sternocleidomastoid.,,"Medial supraclavicular joints:
* (Sternoclavicular joint)
* ",* UBERON:0001469,Medial supraclavicular nerves serve sternoclavicular joint and skin over upper ribs and lower neck. Intermediate suprclavicular nerves serve skin over pectoralis major and deltoid to level of second rib. Lateral supraclavicular nerves serve skin of upper and posterior parts of shoulder. ,"Emerge at posterior border of sternocleidomastoid. The common trunk descends under the platysma muscle and the deep cervical fascia. The trunk then divides into medial, intermediate and lateral (posterior) branches, which diverge to pierce the deep fascia just above the clavicle. Medial supraclavicular nerves run inferomedially across the external jugular vein and the clavicular and sternal heads of sternocleidomastoid to supply the skin as far as the midline and as low as the second rib, and also supply the sternoclavicular joint. The intermediate supraclavicular nerves cross the clavicle to supply the skin over pectoralis major and deltoid down to the level of the second rib. The lateral supraclavicular nerves descend superficially across trapezius and the acromion to supply the skin of the upper and posterior parts of the shoulder.",,"Gray's Anatomy p 443, 797
Netter's Atlas of Human Anatomy plate 405"
Yes,Right supraclavicular nerve,"FMA:65415
ILX:0794901","FMA:65414
FMA:75463","* Point on right C3 spinal nerve branch to right supraclavicular nerve where right supraclavicular nerve starts
* Point on right C4 spinal nerve where right supraclavicular nerve starts",,,,,,,,,,
Yes,Left supraclavicular nerve,"FMA:65416
ILX:0794902","FMA:65414
FMA:75463","* Point on left C3 spinal nerve branch to left supraclavicular nerve where left supraclavicular nerve starts
* Point on left C4 spinal nerve where left supraclavicular nerve starts",,,,,,,,,,
,Anterior supraclavicular nerve,FMA:78648,,,,,,,,,,,,
Yes,Right anterior supraclavicular nerve (Right medial supraclavicular nerve),FMA:78649,FMA:78648,Point on right supraclavicular nerve where right anterior supraclavicular nerve starts,,,,,,,,,,
Yes,Left anterior supraclavicular nerve (Left medial supraclavicular nerve),FMA:78650,FMA:78648,Point on left supraclavicular nerve where left anterior supraclavicular nerve starts,,,,,,,,,,
,Middle supraclavicular nerve,FMA:0329234,,,,,,,,,,,,
Yes,Right middle supraclavicular nerve (Right intermediate supraclavicular nerve),FMA:78652,FMA:0329234,Point on right supraclavicular nerve where right middle supraclavicular nerve starts,,,,,,,,,,
Yes,Left middle supraclavicular nerve (Left intermediate supraclavicular nerve),FMA:78653,FMA:0329234,Point on left supraclavicular nerve where left middle supraclavicular nerve starts,,,,,,,,,,
,Posterior supraclavicular nerve,FMA:0329235,,,,,,,,,,,,
Yes,Right posterior supraclavicular nerve (Right lateral supraclavicular nerve),FMA:78655,FMA:0329235,Point on right supraclavicular nerve where right posterior supraclavicular nerve starts,,,,,,,,,,
Yes,Left posterior supraclavicular nerve (Left lateral supraclavicular nerve),FMA:78656,FMA:0329235,Point on left supraclavicular nerve where left posterior supraclavicular nerve starts,,,,,,,,,,
,Spinal nerves,UBERON:0001780,,,,,,,,,,,,
,"Anterior rami of spinal nerves
* Set of ventral rami of cervical nerve
* Set of ventral rami of lumbar nerves
* Set of anterior rami of sacral nerves and coccygeal nerve","* FMA:77548
* FMA:75488
* FMA:76793",,,,,,,"Supply muscles, and skin over sides and front of neck and body, follow dermatome maps",,"C2, 3, 4 supply neck skin 
C5-T1 supply arm skin via brachial plexus
T2-L1 supply trunk skin",,,Last's Anatomy (revised 9th ed.) p26
,"Posterior rami of spinal nerves
* Posterior ramus of cervical nerve",* FMA:6797,,,,,,,"Medial and lateral branches. Both branches supply muscles, and either medial above T6 or lateral T6 and below supplies skin overlying extensor muscles of vertebral column and skull.",,"C1, C8 and L5 do not reach skin",,,Last's Anatomy (revised 9th ed.) p26
,Deep branches of cervical plexus medial series communicating branches (Set of deep medial branches of cervical plexus),FMA:78602,,,,,Cervical plexus,,,,,Communicating branches pass from the loop between the first and second cervical rami to the vagus and hypoglossal nerves and to the sympathetic trunk.,Gray's Anatomy p 464,Gray's Anatomy p 463
,Lateral deep branches of cervical plexus (C2-4) (Set of deep lateral branches of cervical plexus),FMA:78603,,,,,,,"May connect with the accessory nerve within sternocleidomastoid, the posterior triangle or beneath trapezius",,Muscular and communicating branches,,Gray's Anatomy p 464,
,Submandibular ganglion,UBERON:0002059,,,,,"Fibres leave main facial nerve trunk in middle ear, join the chorda tympani and then the lingual nerve to synapse on submandibular ganglion",,"To submandibular, sublingual and lingual salivary glands",,Parasympathetic ganglion,"Parasympathetic root from the superior salivary nucleus by the nervus intermedius part of the facial nerve, the chorda tympani and the ligual nerve. Sympathetic root from the superior cervical ganglion by fibres running with the facial artery. Sensory root from a branch of the lingual nerve, with cell bodies in the trigemnial ganglion. Sends to the submandibular and subligual glands via branches of the lingual nerve. (Last's around fig. 1.15)",,Gray's Anatomy p 408
,Meningeal branch of spinal nerve (these occur at all vertebral levels),UBERON:00017641,,,,,"Occur at all vertebral levels, pass through intervertebral foramen",,"Divide into ascending, descending and transverse branches. Communicate with corresponding branches above and below. Distribute to posterior longitudinal ligament, periosteum of vertebral bodies, and to posterior and posterolateral apsects of intervertebral discs.",,Mixed sensory and sympathetic,"Recurrent course through intervertebral foramen, pass ventral to spinal nerve, enter vertebral canal",,Gray's Anatomy p 767
,C1 spinal nerve,"FMA:6440
ILX:0794592",,C1 spinal cord segment,UBERON:0006469,,,,,,,,,
Yes,Right C1 spinal nerve,ILX:0794593,"FMA:6440
ILX:0794592",,,,,,,,,,,
Yes,Left C1 spinal nerve,ILX:0794594,"FMA:6440
ILX:0794592",,,,,,,,,,,
,C1 dorsal ramus (suboccipital nerve),FMA:7054,,,,,First cervical vental ramus. Leaves vertebral canal below occipital bone and above posterior arch of C1 vertebra (Atlas) inferior to vertebral artery.,,Supplies muscles. Occasional cutaneous branch to scalp. May communicate with greater and lesser occipital nerves and accessory nerve.,,,Runs anterior to transverse process of C1 atlas and posterior to internal jugular vein.,,"Last's Anatomy (segmental innervation of the skin), Gray's Anatomy p 463, 767"
,Right suboccipital nerve,FMA:6805,FMA:7054,,,,,,,,,,,
,Left suboccipital nerve,FMA:6813,FMA:7054,,,,,,,,,,,
,C1 gray rami communicantes (Gray communicating ramus to first cervical spinal nerve),FMA:6584,,,,,,,,,,,,
Yes,Right C1 gray rami communicantes (Gray communicating ramus to right first cervical spinal nerve),REQUESTED,FMA:6584,,,,,,,,,,,
Yes,Left C1 gray rami communicantes (Gray communicating ramus to left first cervical spinal nerve),REQUESTED,FMA:6584,,,,,,,,,,,
,C1 spinal nerve branch to ansa cervicalis (Superior root of ansa cervicalis),"FMA:54402
FMA:55145",,,,,,,,,,,,
Yes,Right C1 spinal nerve branch to right ansa cervicalis (Superior root of right ansa cervicalis),FMA:55147,"FMA:54402
FMA:55145",Point on right C1 spinal nerve where right C1 spinal nerve branch to right ansa cervicalis starts,,,,,,,,,,
Yes,Left C1 spinal nerve branch to left ansa cervicalis (Superior root of left ansa cervicalis),FMA:55148,"FMA:54402
FMA:55145",Point on left C1 spinal nerve where left C1 spinal nerve branch to left ansa cervicalis starts,,,,,,,,,,
,C2 spinal nerve,"FMA:6443
ILX:0794595",,,,,,,,,,,,
Yes,Right C2 spinal nerve,ILX:0794596,"FMA:6443
ILX:0794595",,,,,,,,,,,
Yes,Left C2 spinal nerve,ILX:0794597,"FMA:6443
ILX:0794595",,,,,,,,,,,
,C2 gray rami communicantes (Gray communicating ramus to second cervical spinal nerve),FMA:6587,,,,,,,,,,,,
Yes,Right C2 gray rami communicantes (Gray communicating ramus to right second cervical spinal nerve),REQUESTED,FMA:6587,,,,,,,,,,,
Yes,Left C2 gray rami communicantes (Gray communicating ramus to left second cervical spinal nerve),REQUESTED,FMA:6587,,,,,,,,,,,
,C2 spinal nerve branch to ansa cervicalis (Inferior root of ansa cervicalis),FMA:55146,,,,,,,,,,,,
Yes,Right C2 spinal nerve branch to right ansa cervicalis (Inferior root of right ansa cervicalis),FMA:55149,FMA:55146,Point on right C2 spinal nerve where right C2 spinal nerve branch to right ansa cervicalis starts,,,,,,,,,,
Yes,C2 spinal nerve branch to left ansa cervicalis (Inferior root of left ansa cervicalis),FMA:55150,FMA:55146,Point on left C2 spinal nerve where left C2 spinal nerve branch to left ansa cervicalis starts,,,,,,,,,,
,C2 spinal nerve branch to great auricular nerve (C2 root of great auricular nerve),FMA:65397,,,,,,,,,,,,
Yes,Right C2 spinal nerve branch to right great auricular nerve (C2 root of right great auricular nerve),FMA:65398,FMA:65397,,,,,,,,,,,
Yes,Left C2 spinal nerve branch to left great auricular nerve (C2 root of left great auricular nerve),FMA:65399,FMA:65397,,,,,,,,,,,
,C2 posterior ramus (Posterior ramus of second cervical nerve),FMA:8788,,,,,,,,,,,,
Yes,Right C2 spinal nerve posterior ramus (Posterior ramus of right second cervical nerve),FMA:6821,FMA:8788,,,,,,,,,,,
Yes,Left C2 spinal nerve posterior ramus (Posterior ramus of left second cervical nerve),FMA:6832,FMA:8788,,,,,,,,,,,
,C2 spinal nerve posterior ramus medial branch (Greater occipital nerve/ Medial branch of posterior ramus of second cervical nerve),FMA:65443,,,,,,,,,,,,
Yes,Right C2 spinal nerve posterior ramus medial branch (Right greater occipital nerve/ Medial branch of posterior ramus of right second cervical nerve),FMA:65444,FMA:65443,,,,,,,,,,,
Yes,Left C2 spinal nerve posterior ramus medial branch (Left greater occipital nerve/ Medial branch of posterior ramus of left second cervical nerve),FMA:6835,FMA:65443,,,,,,,,,,,
,C3 spinal nerve,"FMA:6444
ILX:0794598",,,,,Dorsal ramus curves around articular pillar of C3 vertebra before dividing,,Branch to C3-4 facet joint. Skin of neck,,,"Medial branches of dorsal rami of C3, 4 and 5 pierce trapezius to supply skin over the back of the neck",Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right C3 spinal nerve,ILX:0794599,"FMA:6444
ILX:0794598",,,,,,,,,,,
Yes,Left C3 spinal nerve,ILX:0794600,"FMA:6444
ILX:0794598",,,,,,,,,,,
,C3 gray rami communicantes (Gray communicating ramus to third cervical spinal nerve),FMA:6588,,,,,,,,,,,,
Yes,Right C3 gray rami communicantes (Gray communicating ramus to right third cervical spinal nerve),REQUESTED,FMA:6588,,,,,,,,,,,
Yes,Left C3 gray rami communicantes (Gray communicating ramus to left third cervical spinal nerve),REQUESTED,FMA:6588,,,,,,,,,,,
,C3 spinal nerve branch to great auricular nerve (C3 root of great auricular nerve),FMA:65400,,,,,,,,,,,,
Yes,Right C3 spinal nerve branch to great auricular nerve (C3 root of right great auricular nerve),FMA:65401,FMA:65400,,,,,,,,,,,
Yes,Left C3 spinal nerve branch to great auricular nerve (C3 root of left great auricular nerve),FMA:65402,FMA:65400,,,,,,,,,,,
,C3 spinal nerve branch to supraclavicular nerve (C3 root of supraclavicular nerve),FMA:65433,,,,,,,,,,,,
Yes,Right C3 spinal nerve branch to supraclavicular nerve (C3 root of right supraclavicular nerve),FMA:65437,FMA:65433,,,,,,,,,,,
Yes,Left C3 spinal nerve branch to supraclavicular nerve (C3 root of left supraclavicular nerve),FMA:65438,FMA:65433,,,,,,,,,,,
,C3 posterior ramus (Posterior ramus of third cervical nerve),FMA:8792,,,,,,,,,,,,
Yes,Right C3 spinal nerve posterior ramus (Posterior ramus of right third cervical nerve),FMA:6842,FMA:8792,,,,,,,,,,,
Yes,Left C3 spinal nerve posterior ramus (Posterior ramus of left third cervical nerve),FMA:6849,FMA:8792,,,,,,,,,,,
,C3 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of third cervical nerve),FMA:65607,,,,,,,,,,,,
Yes,Right C3 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of right third cervical nerve),FMA:6844,FMA:65607,,,,,,,,,,,
Yes,Left C3 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of left third cervical nerve),FMA:6851,FMA:65607,,,,,,,,,,,
,C4 spinal nerve,"FMA:6445
ILX:0794601",,,,,Dorsal ramus curves around articular pillar of C4 vertebra before dividing,,"Infraclavicular region (to manubriosternal junction), shoulder and above scapular spine",,,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right C4 spinal nerve,ILX:0794602,"FMA:6445
ILX:0794601",,,,,,,,,,,
Yes,Left C4 spinal nerve,ILX:0794603,"FMA:6445
ILX:0794601",,,,,,,,,,,
,C4 gray rami communicantes (Gray communicating ramus to fourth cervical spinal nerve),FMA:6589,,,,,,,,,,,,
Yes,Right C4 gray rami communicantes (Gray communicating ramus to right fourth cervical spinal nerve),REQUESTED,FMA:6589,,,,,,,,,,,
Yes,Left C4 gray rami communicantes (Gray communicating ramus to left fourth cervical spinal nerve),REQUESTED,FMA:6589,,,,,,,,,,,
,C4 posterior ramus (Posterior ramus of fourth cervical nerve),FMA:8789,,,,,,,,,,,,
Yes,Right C4 posterior ramus (Posterior ramus of right fourth cervical nerve),FMA:8790,FMA:8789,,,,,,,,,,,
Yes,Left C4 posterior ramus (Posterior ramus of left fourth cervical nerve),FMA:8791,FMA:8789,,,,,,,,,,,
,C4 posterior ramus medial branch (Medial branch of posterior ramus of fourth cervical nerve),FMA:65617,,,,,,,,,,,"Medial branch of posterior ramus reaches skin in C2-6 and T1-T6.
Lateral branch of posterior ramus reaches skin in T7-T12, L1-3 and S1-5.",
